hi,hola
hello,hola
the,la
the,el
which,que
that,que
from,de
of,de
on,en
in,en
and,y
at,a
to,a
be,ser
no,no
an,un
a,un
the,lo
say,decir
totell,decir
make,hacer
todo,hacer
her,su
his,su
their,su
your,su
have,haber
have,tener
me,me
another,otro
other,otro
for,por
by,por
through,por
with,con
every,todo
all,todo
more,más
to,para
for,para
I,yo
as,como
like,como
whether,si
if,si
can,poder
tobeableto,poder
give,dar
be,estar
yet,pero
but,pero
except,pero
which,qué
what,qué
how,qué
this,este
among,entre
between,entre
spend,pasar
pass,pasar
my,mi
one,uno
ﬁrst,primero
where,donde
because,porque
oughtto,deber
should,deber
toowe,deber
that,ese
yes,sí
us,nos
neither,ni
noteven,ni
nor,ni
over,sobre
ontopof,sobre
about,sobre
or,o
when,cuando
mankind,hombre
man,hombre
husband,hombre
great,grande
large,grande
big,grande
togo,ir
someone,alguno
some,alguno
really,muy
very,muy
shape,forma
form,forma
way,forma
every,cada
each,cada
somewhat,algo
something,algo
three,tres
still,ya
already,ya
two,dos
time,momento
moment,momento
fewer,menos
less,menos
upto,hasta
until,hasta
even,hasta
time,vez
likethat,así
this,esto
tosee,ver
true,cierto
sure,cierto
certain,cierto
world,mundo
get,poner
toput,poner
without,sin
period,punto
dot,punto
point,punto
many,mucho
much,mucho
alot,mucho
after,después
thing,cosa
them,él
he,él
nearly,casi
almost,casi
toarrive,llegar
as,tan
such,tan
too,tan
so,tan
also,también
talk,hablar
speak,hablar
wife,mujer
woman,mujer
them,ella
she,ella
time,hora
hour,hora
now,ahora
typical,propio
proper,propio
own,propio
ﬁnd,saber
know,saber
many,tanto
much,tanto
think,pensar
since,desde
from,desde
better,mejor
best,mejor
boy,niño
child,niño
same,mismo
kind,tipo
type,tipo
young,pequeño
small,pequeño
little,pequeño
you,te
year,año
overthere,allí
there,allí
portion,parte
part,parte
life,vida
effort,trabajo
job,trabajo
work,trabajo
love,querer
towant,querer
noun,nombre
name,nombre
house,casa
country,país
forever,siempre
always,siempre
return,volver
weather,tiempo
time,tiempo
main,mayor
older,mayor
larger,mayor
that[n],eso
underneath,bajo
under,bajo
not]atall,nada
nothing,nada
person,persona
well,bien
our,nuestro
before,antes
story,historia
history,historia
few,poco
little,poco
alittlebit,poco
for,durante
during,durante
whom,quien
who,quien
position,lugar
place,lugar
actuality,realidad
reality,realidad
present,presentar
tointroduce,presentar
know,conocer
live,vivir
happening,hecho
fact,hecho
then,entonces
so,entonces
day,día
goout,salir
toleave,salir
name,llamar
tocall,llamar
four,cuatro
keepon,seguir
tofollow,seguir
remind,recordar
toremember,recordar
change,cambio
white,blanco
totakeout,sacar
obtain,conseguir
acquire,conseguir
toget,conseguir
that,aquel
start,empezar
tobegin,empezar
manner,modo
way,modo
carry,llevar
totake,llevar
friend,amigo
topic,tema
subject,tema
theme,tema
think,creer
tobelieve,creer
leave,dejar
tolet,dejar
toexist,existir
truth,verdad
here,aquí
city,ciudad
general,general
just,sólo
only,sólo
eventhough,aunque
although,aunque
street,calle
looklike,parecer
toseem,parecer
manner,manera
way,manera
toreceive,recibir
stay,quedar
toremain,quedar
toask[aquestion],preguntar
towork,trabajar
expect,esperar
hope,esperar
wait,esperar
accept,aceptar
form,formar
towards,hacia
toward,hacia
except,sino
but,sino
rather,sino
yet,aún
still,aún
ever,nunca
never,nunca
good,bueno
occasion,caso
case,caso
hand,mano
new,nuevo
village,pueblo
people,pueblo
regarding,cuanto
encuantoa:intermsof,cuanto
